Model,Type,Accuracy,Precision,Recall,F1
1D CNN,Deep Learning,0.6634817854726418,0.6621413031793096,0.6634817854726418,0.6625944888617916
XGBoost,Machine Learning,0.63796,0.6339449868736278,0.63796,0.6304810427754323
BiLSTM,Deep Learning,0.6237013336031313,0.6272418727917926,0.6237013336031313,0.6230284789256909
Logistic Regression,Machine Learning,0.61924,0.6137549535127828,0.61924,0.6132306518607372
Support Vector Machine,Machine Learning,0.6186733333333333,0.6130022959715242,0.6186733333333333,0.6096872441737539
Random Forest,Machine Learning,0.5923666666666667,0.6034950970924929,0.5923666666666667,0.5619991578656348
K-Nearest Neighbors,Machine Learning,0.5315866666666667,0.5234492046858015,0.5315866666666667,0.5240055009590388
ANN,Deep Learning,0.4899141915860961,0.47580523120496154,0.4899141915860961,0.46120927677265544
